,regNo,typeOfInvest,initiationDate,cancelNav,issueNav,dividendIntervalPeriod,guaranteedEarningRate,date,netAsset,estimatedEarningRate,investedUnits,beta,alpha,isCompleted,fiveBest,stock,bond,other,cash,deposit,commodity
99,11341,Negotiable,2015-11-22,127786.0,128635.0,0.0,3.2075471698113205,2023-06-19T00:00:00,25665195061292.0,0.0,200845000.0,0.892923,11.33,True,22.89,93.18,3.37,3.42,0.0,0.03,0.0
100,10934,IssuanceAndCancellation,2011-11-12,29102365.0,29215557.0,3.0,3.018867924528301,2023-06-19T00:00:00,308746990643.0,0.0,10609.0,0.908631,10.629999999999999,True,18.65,51.56,34.82,1.41,0.0,12.22,0.0
101,11268,IssuanceAndCancellation,2014-07-23,2409207.0,2423048.0,0.0,2.830188679245282,2023-06-19T00:00:00,2036110247043.0,0.0,845137.0,0.924339,9.93,True,23.91,74.2,2.65,7.73,0.01,4.22,11.18
102,11914,IssuanceAndCancellation,2022-01-05,2320421.0,2323760.0,0.0,2.6415094339622627,2023-06-19T00:00:00,1212482632662.0,0.0,522527.0,0.9756416666666666,8.824666666666666,True,94.5,94.5,0.0,5.12,0.09,0.0,0.0
103,11755,IssuanceAndCancellation,2020-10-12,1287341.0,1289226.0,0.0,2.4528301886792434,2023-06-19T00:00:00,23373051991736.0,0.0,18156062.0,1.0269443333333332,7.719333333333333,True,94.7,95.55,0.0,7.54,1.27,0.0,0.0
104,10781,IssuanceAndCancellation,2010-07-06,1034700.0,1041401.0,0.0,2.264150943396224,2023-06-19T00:00:00,5581782129468.0,0.0,5394592.0,1.078247,6.614,True,21.2,92.24,0.0,5.89,0.0,1.87,0.0
105,11477,IssuanceAndCancellation,2017-02-06,49792897.0,50136685.0,0.0,2.075471698113205,2023-06-19T00:00:00,4411401778613.0,0.0,88595.0,0.906708,10.54,True,58.97,98.11,0.0,1.87,0.0,0.02,0.0
106,11215,Negotiable,2013-12-23,407655.0,410314.0,0.0,1.8867924528301856,2023-06-19T00:00:00,24811112283267.0,0.0,60863024.0,0.8992,10.402,True,26.11,95.1,1.5,1.58,0.0,1.82,0.0
107,10851,IssuanceAndCancellation,2011-04-20,1064023.0,1070750.0,0.0,1.6981132075471699,2023-06-19T00:00:00,43293340880970.0,0.0,40688359.0,0.958202,8.35,True,23.18,92.84,5.26,1.26,0.0,0.64,0.0
108,10896,IssuanceAndCancellation,2011-08-15,8346074.0,8403218.0,0.0,1.5094339622641506,2023-06-19T00:00:00,4803266200398.0,0.0,575512.0,1.122547,5.2,True,23.31,97.79,0.0,1.97,0.0,0.23,0.0
109,11378,Negotiable,2016-05-17,294001.0,295946.0,0.0,1.3207547169811313,2023-06-19T00:00:00,5136101374138.0,0.0,17469617.0,0.837554,11.06,True,26.68,93.29,0.0,0.94,0.0,5.77,0.0
110,11888,Negotiable,2021-11-03,17981.0,18058.0,0.0,1.132075471698112,2023-06-19T00:00:00,6583868281761.0,0.0,366140845.0,0.9137645000000001,9.268,True,25.3,56.54,19.35,0.73,0.0,22.87,0.51
111,11312,Negotiable,2015-04-06,327147.0,329408.0,0.0,0.9433962264150928,2023-06-19T00:00:00,12291344067506.0,0.0,37571304.0,0.989975,7.476,True,25.72,94.95,0.0,4.83,0.0,0.22,0.33999999999999997
112,11233,Negotiable,2018-05-27,228830.0,230344.0,0.0,0.7547169811320735,2023-06-19T00:00:00,7220834026399.0,0.0,31555481.0,0.923629,8.363,True,46.4,94.23,0.0,5.74,0.0,0.03,0.16999999999999998
113,10855,IssuanceAndCancellation,2011-05-03,37709526.0,37980102.0,0.0,0.5660377358490543,2023-06-19T00:00:00,6933009564740.0,0.0,183853.0,1.196226,2.11,True,37.02,96.61,0.0,0.74,0.01,2.64,0.0
114,11173,IssuanceAndCancellation,2013-09-04,27223379.0,27397723.0,0.0,0.377358490566035,2023-06-19T00:00:00,1500661566989.0,0.0,55124.0,0.723907,13.066,True,33.92,89.68,0.0,3.0,0.0,7.31,0.0
115,11235,IssuanceAndCancellation,2014-02-12,144138.0,145131.0,3.0,0.18867924528301572,2023-06-19T00:00:00,3229942826985.0,0.0,22408575.0,1.027073,5.27,True,38.06,97.37,0.0,2.26,0.03,0.34,0.0
116,11525,IssuanceAndCancellation,2017-07-09,1159262.0,1160210.0,5.0,0.0,2023-06-19T00:00:00,28309354319796.0,0.0,24420151.0,1.01361,5.325749999999999,True,24.412941,8.89,16.86,19.36,0.0,7.58,0.0
117,10762,IssuanceAndCancellation,2010-02-16,305997.0,307329.0,0.0,0.0,2023-06-19T00:00:00,3994713032541.0,0.0,13054755.0,1.000147,5.3815,True,14.12,59.9,38.5,1.2,0.0,0.4,0.0
118,11615,IssuanceAndCancellation,2018-12-05,1638774.0,1640892.0,0.0,0.0,2023-06-19T00:00:00,111787910188181.0,0.0,68214347.0,0.986684,5.437250000000001,True,46.47,76.85,3.97,19.67,0.0,0.18,0.0
119,11132,IssuanceAndCancellation,2013-02-24,350635.0,352940.0,1.0,0.0,2023-06-19T00:00:00,24132181548932.0,0.0,68824239.0,0.973221,5.493,True,29.63,93.98,4.27,1.37,0.0,0.38,0.0
120,11447,IssuanceAndCancellation,2016-08-01,17502776.0,17535725.0,0.0,0.0,2023-06-19T00:00:00,4733766221741.0,0.0,270458.0,0.99283475,4.7547500000000005,True,59.93,59.93,9.63,28.77,0.0,1.67,0.0
121,11927,Negotiable,2022-02-07,16419.0,16450.0,0.0,0.0,2023-06-19T00:00:00,1098156514004.0,0.0,66880840.0,1.0124485,4.016500000000001,True,0.0,0.0,0.0,2.2,0.0,0.93,0.0
122,10897,IssuanceAndCancellation,2011-08-07,13777426.0,13835340.0,12.0,0.0,2023-06-19T00:00:00,702373200113.0,0.0,50980.0,1.03206225,3.27825,True,27.78,58.52,31.94,0.86,0.01,8.66,0.0
123,11885,Negotiable,2021-11-15,18253.0,18373.0,0.0,0.0,2023-06-19T00:00:00,743991918267.0,0.0,40759976.0,1.051676,2.54,True,24.04,94.81,0.0,4.17,1.02,0.0,0.0
124,11334,IssuanceAndCancellation,2015-05-17,31686256.0,31910397.0,0.0,0.0,2023-06-19T00:00:00,2029758228126.0,0.0,64058.0,1.021156,2.52,True,32.45,98.68,0.0,0.36,0.0,0.96,0.0
125,11309,IssuanceAndCancellation,2015-04-06,151749.0,152801.0,6.0,0.0,2023-06-19T00:00:00,2071590195270.0,0.0,13651464.0,1.06481,1.316,True,25.99,97.71,0.0,2.01,0.05,0.23,0.0
126,11188,IssuanceAndCancellation,2013-05-08,22697693.0,22788620.0,0.0,0.0,2023-06-19T00:00:00,3955890153481.0,0.0,174286.0,0.7334365,8.574,True,15.395327,39.721487,28.362953,0.779941,0.0,15.740291,0.0
127,11308,Negotiable,2015-02-17,27839.0,28026.0,0.0,0.0,2023-06-19T00:00:00,4699059523290.0,0.5862068965517241,168791536.0,0.402063,15.832,True,45.88,95.27,0.0,0.92,0.0,3.8,0.0
128,10843,IssuanceAndCancellation,2011-04-17,3818553.0,3840427.0,0.0,0.0,2023-06-19T00:00:00,1828361830996.0,1.1724137931034482,478810.0,0.980313,2.73,True,50.14,79.86,13.72,2.43,0.0,1.07,0.0
129,11803,Negotiable,2022-01-05,16062.0,16171.0,0.0,0.0,2023-06-19T00:00:00,272862611182.0,1.7586206896551722,16988026.0,0.933714,3.64,True,43.25,95.99,0.0,3.13,0.0,0.88,0.0
130,11929,Negotiable,2022-03-15,14410.0,14535.0,0.0,0.0,2023-06-19T00:00:00,456114566266.0,2.3448275862068964,31651991.0,0.909623,3.37,True,25.07,96.95,0.0,1.86,0.0,0.5,0.0
131,11258,IssuanceAndCancellation,2014-05-24,95733.0,96200.0,0.0,0.0,2023-05-08T00:00:00,370345325724.0,2.9310344827586206,3868506.0,1.022261,1.355,True,25.83,67.97,23.8,1.09,0.02,7.12,0.0
132,11285,IssuanceAndCancellation,2014-10-14,3036695.0,3057915.0,0.0,0.0,2023-06-19T00:00:00,18337156196967.0,3.5172413793103443,6038524.0,1.134899,-0.66,True,34.11,97.54,1.06,0.94,0.0,0.46,0.0
133,11239,IssuanceAndCancellation,2014-05-31,5881633.0,5896295.0,0.0,0.0,2023-06-19T00:00:00,657390197952.0,4.1034482758620685,111770.0,1.10398825,-0.43700000000000006,True,23.48,34.71,19.14,0.49,0.0,45.66,0.0
134,11131,IssuanceAndCancellation,2013-02-17,9926634.0,9960741.0,6.0,0.0,2023-06-19T00:00:00,2788470865457.0,4.689655172413793,280908.0,1.0730775000000001,-0.21400000000000002,True,37.44,47.66,23.96,4.01,0.05,24.31,0.0
135,11764,IssuanceAndCancellation,2020-11-16,1768122.0,1770388.0,0.0,0.0,2023-06-19T00:00:00,74125882458730.0,5.275862068965517,41923523.0,1.04216675,0.009000000000000008,True,77.93,87.94,3.47,0.2,0.0,8.38,0.0
136,11939,Negotiable,2022-03-06,15333.0,15439.0,0.0,0.0,2023-06-19T00:00:00,8400968776918.0,5.862068965517241,547900000.0,1.011256,0.232,True,28.87,97.56,0.0,2.24,0.0,0.2,0.0
137,11297,IssuanceAndCancellation,2014-11-19,33546336.0,33784571.0,0.0,0.0,2023-06-19T00:00:00,5191161384584.0,6.448275862068965,154746.0,1.222388,-3.902,True,45.23,98.63,0.0,1.2,0.0,0.16,0.0
138,10706,IssuanceAndCancellation,2009-05-16,8149372.0,8205377.0,0.0,0.0,2023-06-19T00:00:00,12130268165673.0,7.034482758620689,1488491.0,0.8678,2.29,True,44.13,95.75,1.65,2.35,0.0,0.26,0.0
139,11397,IssuanceAndCancellation,2020-04-20,2299533.0,2300288.0,0.0,0.0,2023-06-19T00:00:00,120373621720506.0,7.620689655172413,52346974.0,0.9348523333333333,-0.21666666666666679,True,98.58,98.58,0.0,0.41,0.97,0.05,0.0
140,11607,IssuanceAndCancellation,2018-10-20,6522075.0,6531162.0,0.0,0.0,2023-06-19T00:00:00,41196022784834.0,8.206896551724137,6316398.0,1.0019046666666667,-2.7233333333333336,True,91.14,92.05,0.17,7.6,0.0,0.18,0.0
141,10801,IssuanceAndCancellation,2010-11-30,10434417.0,10504723.0,0.0,0.0,2023-06-19T00:00:00,1707456802114.0,8.793103448275861,163637.0,1.068957,-5.23,True,23.78,96.12,1.02,1.17,0.09,1.61,0.0
142,11323,Negotiable,2015-06-30,12411.0,12421.0,0.0,0.0,2023-06-19T00:00:00,956352280068.0,9.379310344827585,77052377.0,1.032513,-4.683333333333334,True,6.83,7.28,49.38,0.36,0.0,42.97,0.0
143,11553,IssuanceAndCancellation,2018-01-20,2563755.0,2567005.0,0.0,0.0,2023-06-19T00:00:00,12090801448871.0,9.96551724137931,4716052.0,0.996069,-4.136666666666667,True,62.34,84.18,6.01,0.94,0.0,8.87,0.0
144,11470,Negotiable,2021-07-08,156610.0,157684.0,0.0,0.0,2023-06-19T00:00:00,1413192446868.0,10.551724137931034,9023600.0,0.959625,-3.59,True,43.25,96.98,0.52,2.28,0.0,0.22,0.0
145,10771,IssuanceAndCancellation,2010-03-17,909736.0,915048.0,0.0,0.0,2023-06-19T00:00:00,465839474294.0,11.137931034482758,512060.0,0.944302,-3.13,True,41.27,83.17,0.0,1.13,0.01,15.69,0.0
146,11304,IssuanceAndCancellation,2015-01-20,7304086.0,7338227.0,1.0,0.0,2023-06-19T00:00:00,1358019653023.0,11.724137931034482,185926.0,0.9117664999999999,-2.96,True,19.92,55.4,40.88,1.13,0.0,1.2,1.39
147,11774,Negotiable,2021-01-26,18774.0,18899.0,0.0,0.0,2023-06-19T00:00:00,1776059570663.0,12.310344827586206,94600000.0,0.879231,-2.79,True,25.93,94.93,0.0,4.78,0.0,0.29,0.0
148,11691,IssuanceAndCancellation,2020-06-16,12293.0,12386.0,3.0,0.0,2023-02-23T00:00:00,22726083144.0,12.89655172413793,1848739.0,0.9357995,-3.95,True,32.16,86.86,11.28,1.01,0.0,0.85,0.0
149,11461,IssuanceAndCancellation,2016-10-16,25388954.0,25580276.0,0.0,0.0,2023-06-19T00:00:00,2774733494136.0,13.482758620689655,109289.0,0.992368,-5.11,True,35.82,94.71,0.0,2.38,0.0,2.9,0.0
150,11933,IssuanceAndCancellation,2022-02-13,1370987.0,1372472.0,0.0,0.0,2023-06-18T00:00:00,1575996207224.0,14.068965517241377,1149534.0,0.9817367692307692,-5.145384615384616,True,69.9,71.07,0.1,21.7,7.77,0.0,0.0
151,11196,Negotiable,2014-01-25,173923.0,174586.0,0.0,0.0,2023-06-19T00:00:00,1905769825263.0,14.655172413793101,10957539.0,0.9711055384615385,-5.180769230769231,True,27.86,54.0,10.28,1.25,0.0,34.47,0.0
152,11339,IssuanceAndCancellation,2015-05-19,1655984.0,1659239.0,1.0,0.0,2023-06-19T00:00:00,52354779897925.0,15.241379310344826,31615520.0,0.9604743076923077,-5.216153846153847,True,81.48,94.11,1.74,4.12,0.0,0.03,0.0
153,11286,IssuanceAndCancellation,2019-08-23,1756199.0,1758572.0,0.0,0.0,2023-06-19T00:00:00,89685196414077.0,15.82758620689655,51067774.0,0.9498430769230769,-5.251538461538462,True,99.99,99.99,0.0,0.0,0.0,0.0,0.0
154,11954,IssuanceAndCancellation,2022-03-17,1450772.0,1452380.0,0.0,0.0,2023-06-19T00:00:00,12893633431135.0,16.413793103448274,8887429.0,0.9392118461538461,-5.2869230769230775,True,58.32,82.9,9.56,7.4,0.0,0.14,0.0
155,11198,IssuanceAndCancellation,2014-01-25,1959127.0,1960917.0,3.0,0.0,2023-06-19T00:00:00,73363439300.0,17.0,37447.0,0.9285806153846154,-5.322307692307692,True,8.99,8.99,74.28,1.25,0.0,15.48,0.0
156,11895,IssuanceAndCancellation,2021-11-21,1376889.0,1378932.0,0.0,0.0,2023-06-19T00:00:00,1775784735403.0,16.846153846153847,1289708.0,0.9179493846153846,-5.357692307692308,True,60.94,80.59,16.11,3.12,0.0,0.18,0.0
157,11579,Negotiable,2018-06-27,1338390.0,1338390.0,0.0,0.0,2023-06-19T00:00:00,200758524883.0,16.692307692307693,150000.0,0.9073181538461539,-5.393076923076923,True,0.0,0.0,0.0,99.91,0.09,0.0,0.0
158,11828,IssuanceAndCancellation,2021-04-14,1575739.0,1578335.0,0.0,0.0,2023-06-19T00:00:00,2517758323594.0,16.53846153846154,1597827.0,0.8966869230769231,-5.428461538461539,True,90.91,95.71,0.87,3.42,0.0,0.0,0.0
159,11858,IssuanceAndCancellation,2021-07-12,1525628.0,1527401.0,0.0,0.0,2023-06-19T00:00:00,16713828089537.0,16.384615384615383,10955369.0,0.8860556923076923,-5.463846153846154,True,65.04,65.04,2.38,6.16,0.21,1.43,0.0
160,11799,IssuanceAndCancellation,2021-04-24,1358181.0,1359301.0,0.0,0.0,2023-06-19T00:00:00,67909025148.0,16.23076923076923,50000.0,0.8754244615384615,-5.49923076923077,True,-0.06,63.63,0.0,11.43,0.0,24.94,0.0
161,11655,IssuanceAndCancellation,2019-07-16,1627888.0,1630190.0,0.0,0.0,2023-06-18T00:00:00,21180917866613.0,16.076923076923077,13011279.0,0.8647932307692308,-5.534615384615385,True,86.27,94.6,0.02,2.84,0.1,4.72,0.0
162,10835,IssuanceAndCancellation,2011-03-13,4899061.0,4931621.0,0.0,0.0,2023-06-19T00:00:00,2434329011803.0,15.923076923076923,496897.0,0.854162,-5.57,True,31.51,94.81,0.17,3.83,0.0,1.19,0.0
163,11280,IssuanceAndCancellation,2014-08-27,124629.0,125434.0,6.0,0.0,2023-06-19T00:00:00,1242343382894.0,15.76923076923077,9968327.0,1.03557,-9.73,True,52.86,91.26,0.0,0.84,0.05,7.85,0.0
164,11511,IssuanceAndCancellation,2017-07-03,945504.0,946841.0,0.0,0.0,2023-01-27T00:00:00,20175230293779.0,15.615384615384615,21338061.0,0.8494493333333334,-6.093333333333334,True,71.16,93.26,0.0,7.08,6.94,0.0,0.0
165,11621,IssuanceAndCancellation,2018-11-19,41031.0,41093.0,0.0,0.0,2023-06-19T00:00:00,252650051467.0,15.461538461538462,6157615.0,0.6633286666666667,-2.456666666666667,True,12.57,18.98,45.3,0.78,0.01,34.93,0.0
166,11907,Negotiable,2022-03-12,14181.0,14286.0,0.0,0.0,2023-06-19T00:00:00,1576133279222.0,15.307692307692307,111139564.0,0.477208,1.18,True,34.58,98.17,0.0,1.74,0.0,0.09,0.0
167,11786,IssuanceAndCancellation,2021-04-20,1539546.0,1541553.0,0.0,0.0,2023-06-19T00:00:00,923728072978.0,15.153846153846153,600000.0,0.5367667500000001,-0.39749999999999996,True,53.58,53.58,30.89,4.09,0.09,0.0,0.0
168,11793,IssuanceAndCancellation,2022-01-12,1006258.0,1006784.0,1.0,0.0,2023-06-19T00:00:00,19819137470483.0,15.0,19695875.0,0.5963255000000001,-1.9749999999999999,True,4.03,4.03,66.07,0.66,0.01,29.23,0.0
169,11380,IssuanceAndCancellation,2015-12-06,138029.0,138151.0,6.0,0.0,2023-06-19T00:00:00,322442152102.0,17.0,2336040.0,0.6558842500000001,-3.5525,True,7.44,7.54,85.92,0.08,0.07,6.38,0.0
170,11725,Negotiable,2020-07-20,16460.0,16470.0,0.0,0.0,2023-06-19T00:00:00,14945826995696.0,18.0,908000000.0,0.715443,-5.13,True,3.8,4.38,68.66,0.53,0.01,25.8,0.0
171,11675,IssuanceAndCancellation,2020-02-23,2024966.0,2029649.0,0.0,0.0,2023-06-19T00:00:00,2203603281151.0,19.0,1088217.0,0.77500175,-6.7075,True,0.0,0.0,0.0,6.85,0.08,0.04,0.0
172,11859,Negotiable,2021-09-12,15093.0,15108.0,0.0,0.0,2023-06-19T00:00:00,1619294172626.0,20.0,107290940.0,0.8345605,-8.285,True,4.21,10.92,62.73,1.23,0.0,25.12,0.0
173,10767,IssuanceAndCancellation,2010-03-15,78603088.0,78913104.0,0.0,0.0,2023-06-19T00:00:00,587793889952.0,20.0,7478.0,0.89411925,-9.862499999999999,True,32.6,56.58,22.66,0.49,0.03,20.23,0.0
174,11763,Negotiable,2021-03-02,17083.0,17202.0,0.0,0.0,2023-06-19T00:00:00,1479752624025.0,20.0,86620000.0,0.953678,-11.44,True,19.13,98.72,0.0,0.89,0.04,0.35,0.0
175,11409,Negotiable,2016-03-08,49451.0,49503.0,0.0,0.0,2023-06-19T00:00:00,18815445463317.0,20.0,380484042.0,0.9721453,-12.157,True,5.98,8.56,50.24,0.68,0.0,33.64,0.0
176,11692,Negotiable,2020-03-11,20921.0,20939.0,0.0,0.0,2023-06-19T00:00:00,128457904875175.0,20.0,6140090000.0,0.9906126,-12.873999999999999,True,5.74,8.53,45.59,3.04,0.0,39.59,0.0
177,11883,Negotiable,2021-11-07,14501.0,14507.0,0.0,0.0,2023-06-19T00:00:00,128054799052208.0,20.0,8830700000.0,1.0090799,-13.591,True,0.52,0.6,49.67,1.76,0.0,39.87,0.0
178,11569,Negotiable,2019-10-20,25231.0,25249.0,0.0,0.0,2023-06-19T00:00:00,10389337329494.0,20.0,411755500.0,1.0275471999999999,-14.308,True,6.3,6.31,51.14,1.07,0.0,38.99,0.0
179,11959,Negotiable,2022-06-18,12761.0,12765.0,0.0,0.0,2023-06-19T00:00:00,131335579056.0,20.0,10292110.0,1.0460145,-15.024999999999999,True,0.0,0.0,97.85,2.12,0.0,0.03,0.0
180,11588,Negotiable,2018-10-03,28799.0,28822.0,0.0,0.0,2023-06-19T00:00:00,61009112329332.0,20.0,2118432061.0,1.0644818,-15.741999999999999,True,4.31,6.6,53.46,0.51,0.37,35.81,0.0
181,11874,Negotiable,2021-09-15,14697.0,14710.0,0.0,0.0,2023-06-19T00:00:00,41839461227301.0,20.0,2846800000.0,1.0829491,-16.459,True,8.24,9.63,42.51,0.92,0.0,45.67,0.0
182,11776,Negotiable,2021-01-23,16584.0,16603.0,0.0,0.0,2023-06-19T00:00:00,24936058100575.0,20.0,1503636225.0,1.1014164,-17.176,True,9.61,12.86,36.86,0.47,0.0,49.81,0.845
183,11722,Negotiable,2020-09-17,18286.0,18302.0,0.0,0.0,2023-06-19T00:00:00,32037533324916.0,19.714285714285715,1752000000.0,1.1198837,-17.893,True,6.12,9.44,31.06,4.43,0.0,51.42,1.69
184,10787,IssuanceAndCancellation,2010-10-12,1186244.0,1194391.0,0.0,0.0,2023-06-19T00:00:00,2973597240848.0,19.428571428571427,2506733.0,1.138351,-18.61,True,45.04,98.47,0.0,0.06,0.01,1.47,0.0
185,11838,Negotiable,2021-07-19,15385.0,15392.0,0.0,0.0,2023-06-19T00:00:00,4096046379526.0,19.142857142857142,266228158.0,1.1360273539823007,-18.25498121238938,True,0.92,0.92,24.98,9.71,0.0,58.92,5.36
186,11926,IssuanceAndCancellation,2022-04-10,12981.0,12986.0,0.0,0.0,2023-06-19T00:00:00,174394259821.0,18.857142857142858,13433578.0,1.1337037079646017,-17.89996242477876,True,2.0,2.88,50.63,4.52,1.19,40.18,0.0
187,11315,Negotiable,2015-04-25,56057.0,56124.0,0.0,0.0,2023-06-19T00:00:00,128934336103626.0,18.571428571428573,2300045907.0,1.1313800619469025,-17.544943637168142,True,10.31,14.1,59.01,0.86,0.0,25.97,0.0
188,11955,Negotiable,2022-04-27,11412.0,11426.0,0.0,0.0,2023-06-19T00:00:00,3191063504133.0,18.285714285714285,279600000.0,1.1290564159292034,-17.18992484955752,True,13.84,15.74,35.6,13.3,0.31,34.6,0.0
189,11383,IssuanceAndCancellation,2015-12-01,1036059.0,1037731.0,1.0,0.0,2023-06-19T00:00:00,50012511472443.0,18.0,48271874.0,1.1267327699115044,-16.834906061946903,True,4.25,13.37,55.31,0.49,0.0,30.83,0.025
190,11518,Negotiable,2017-12-30,35570.0,35601.0,0.0,0.0,2023-06-19T00:00:00,26331139047976.0,20.0,740269890.0,1.1244091238938052,-16.47988727433628,True,5.75,12.09,52.66,0.43,0.0,34.82,0.05
191,11626,Negotiable,2019-02-19,18683.0,18706.0,0.0,0.0,2023-06-19T00:00:00,12010488915973.0,19.25,642865314.0,1.122085477876106,-16.124868486725664,True,5.3,13.97,53.03,0.35,0.0,32.65,0.07500000000000001
192,11698,Negotiable,2020-04-08,18580.0,18593.0,0.0,0.0,2023-06-19T00:00:00,20128711110804.0,18.5,1083338511.0,1.119761831858407,-15.769849699115044,True,1.86,6.91,45.12,1.25,0.0,45.32,0.1
193,11969,IssuanceAndCancellation,2022-06-18,12473.0,12477.0,0.0,0.0,2023-06-19T00:00:00,1758868429848.0,17.75,141012323.0,1.1174381858407079,-15.414830911504424,True,0.0,0.0,79.42,2.92,0.0,17.67,0.0
194,10784,IssuanceAndCancellation,2019-07-01,1009634.0,1011087.0,1.0,0.0,2023-06-19T00:00:00,11244426006848.0,17.0,11137121.0,1.1151145398230087,-15.059812123893805,True,15.77,15.92,33.11,5.11,0.0,42.42,0.0
195,11416,Negotiable,2016-08-01,10248.0,10258.0,1.0,0.0,2023-06-19T00:00:00,24545867434891.0,16.75,2395033298.0,1.1127908938053097,-14.704793336283185,True,8.67,9.61,41.62,0.58,0.0,46.72,0.66
196,11916,Negotiable,2022-02-07,14049.0,14081.0,0.0,0.0,2023-06-19T00:00:00,624893628148.0,16.5,44476986.0,1.1104672477876105,-14.349774548672567,True,22.54,22.64,73.86,2.93,0.0,0.37,0.0
197,11753,Negotiable,2020-12-27,16879.0,16895.0,0.0,0.0,2023-06-19T00:00:00,1250799877674.0,16.25,74100294.0,1.1081436017699113,-13.994755761061946,True,8.53,8.53,71.11,0.22,0.02,19.81,0.0
