,regNo,fundType,fundUnit,fundPublisher,fundSize
0,11777,11,,1,74023883405729.0
1,11446,11,,1,19866136867127.0
2,11633,11,,1,94722689423.0
3,11783,11,,4,400255915815.0
4,11410,11,,4,174268605719558.0
5,11950,12,,1,411878254654.0
6,11759,11,40.36,2,18882381623614.0
7,11443,11,13.83,2,9288179850659.0
8,11884,11,99.69,2,1141920553883.0
9,11709,6,0.22,2,175799669754134.0
10,11967,5,0.0,2,3491552241496.0
11,11941,11,0.0,1,1471500133706.0
12,11618,11,0.0,1,36486777303177.0
13,11856,5,0.0,2,16937805708879.0
14,11530,5,0.0,2,7872686361539.0
15,11149,6,0.0,1,1526708290270.0
16,11899,5,0.0,2,7433709849228.0
17,11823,6,0.0,1,231924044925.0
18,11807,11,0.0,1,502629259649.0
19,11586,5,0.0,1,29997480053923.0
20,11186,6,0.0,2,1722390031470.0
21,11878,6,0.0,2,3991643685816.0
22,11195,6,0.0,1,5764589508845.0
23,11141,6,0.0,1,1075395578907.0
24,11603,12,0.0,1,97129958304.0
25,11463,6,0.0,1,933985296460.0
26,11359,11,0.0,4,6996331126467.0
27,11706,6,0.0,2,719620030251.0
28,10789,6,0.0,1,6426027056971.0
29,11773,6,0.0,2,2357222997166.0
30,11710,11,0.0,1,2575464367765.0
31,11889,6,0.0,2,2499173965814.0
32,11509,5,0.0,2,58361708045655.0
33,11951,6,0.0,1,4675080116863.0
34,11922,6,0.0,2,2024701790453.0
35,11729,6,0.0,2,987808369329.0
36,11454,6,0.0,1,4407626188605.0
37,11324,11,0.0,1,9369942318679.0
38,11664,11,0.0,1,204019381953309.0
39,10589,6,0.0,2,2939484975731.0
40,11384,6,0.0,1,688383073487.0
41,11172,7,0.0,1,1153403144977.0
42,11853,6,0.0,2,3728592848469.0
43,11314,6,0.0,1,223872730404.0
44,11534,11,0.0,2,19474646340250.0
45,11925,11,0.0,2,1276779150322.0
46,11921,7,0.22,1,55992577927.0
47,11365,11,0.44,2,2142097532228.0
48,11556,5,0.0,2,15301244335585.0
49,11087,6,0.0,1,1979181038791.0
50,11595,11,0.0,4,19156497550901.0
51,11364,11,0.0,2,108429608434866.0
52,11220,6,0.0,2,894837269617.0
53,11924,6,47.99,4,10111033056401.0
54,11711,11,95.98,2,19246364534159.0
55,11745,6,0.71,2,151751340234930.0
56,11947,11,90.4,2,1637807067913.0
57,10591,6,0.0,2,1965497479180.0
58,11095,6,0.0,2,3853704101602.0
59,11912,6,2.905,1,74365476857928.0
60,11668,11,5.81,2,19438302823653.0
61,10753,6,2.905,1,1008905149736.0
62,11260,6,0.0,2,2691972840213.0
63,11157,7,0.0,1,911587729661.0
64,11234,6,0.0,2,24930847832255.0
65,11934,11,0.0,2,276087888127.0
66,11712,6,0.0,2,5359880082462.0
67,11649,6,0.0,2,15329941672892.0
68,10872,6,0.0,5,2101807264286.0
69,11305,7,0.0,2,406091561306.0
70,11055,6,0.0,1,2815016446811.0
71,11962,6,0.0,2,1665213720848.0
72,10743,6,0.0,2,7585916502389.0
73,11900,6,0.0,2,2394721044159.0
74,10596,6,0.32,2,6169906087249.0
75,11674,11,27.920000000000005,4,11000268267472.0
76,10615,5,55.52000000000001,1,2315796529825.0
77,11915,17,83.12,2,902258460511.0
78,10825,6,0.0,2,592983611296.0
79,11836,11,0.0,1,1289019428927.0
80,11842,7,0.0,2,1684633161798.0
81,10630,6,0.0,1,842843651475.0
82,11273,6,0.0,2,7454814541764.0
83,11099,6,0.0,3,11248596880349.0
84,11182,6,0.37,2,5351631640272.0
85,11736,6,1.025,1,6029379381039.0
86,11197,6,1.68,2,5370477063456.0
87,11223,6,0.0,2,3934299629926.0
88,10616,6,0.0,2,9349894267815.0
89,11886,6,0.11,2,2522181866499.0
90,10600,6,0.07333333333333333,1,60205792844012.0
91,11222,7,0.03666666666666667,1,1095740686546.0
92,10869,6,0.0,2,1741892238707.0
93,11688,11,0.0,1,26419951292471.0
94,11183,6,0.0,2,20026334628991.0
95,10782,6,0.0,2,1188207901718.0
96,10764,6,0.0,1,2730913863177.0
97,11327,6,0.0,2,10767894641009.0
98,10719,6,0.0,2,3022169311500.0
99,11341,6,0.0,2,25665195061292.0
100,10934,7,0.0,2,308746990643.0
101,11268,6,0.0,2,2036110247043.0
102,11914,11,0.29,2,1212482632662.0
103,11755,11,0.1933333333333333,4,23373051991736.0
104,10781,6,0.09666666666666665,1,5581782129468.0
105,11477,6,0.0,2,4411401778613.0
106,11215,6,0.0,1,24811112283267.0
107,10851,6,0.0,1,43293340880970.0
108,10896,6,0.0,2,4803266200398.0
109,11378,6,0.0,2,5136101374138.0
110,11888,7,0.0,2,6583868281761.0
111,11312,6,0.0,1,12291344067506.0
112,11233,6,0.0,1,7220834026399.0
113,10855,6,0.0,2,6933009564740.0
114,11173,6,0.0,1,1500661566989.0
115,11235,6,0.0,2,3229942826985.0
116,11525,11,22.8,3,28309354319796.0
117,10762,7,17.1,1,3994713032541.0
118,11615,11,11.4,4,111787910188181.0
119,11132,6,5.699999999999999,1,24132181548932.0
120,11447,11,0.0,2,4733766221741.0
121,11927,17,96.87,2,1098156514004.0
122,10897,7,0.0,2,702373200113.0
123,11885,6,0.0,2,743991918267.0
124,11334,6,0.0,2,2029758228126.0
125,11309,6,0.0,1,2071590195270.0
126,11188,7,0.0,3,3955890153481.0
127,11308,6,1.46,1,4699059523290.0
128,10843,6,2.92,2,1828361830996.0
129,11803,6,0.0,2,272862611182.0
130,11929,6,0.68,2,456114566266.0
131,11258,7,0.0,2,370345325724.0
132,11285,6,0.0,2,18337156196967.0
133,11239,7,0.0,2,657390197952.0
134,11131,7,0.0,1,2788470865457.0
135,11764,11,0.0,1,74125882458730.0
136,11939,6,0.0,1,8400968776918.0
137,11297,6,0.0,1,5191161384584.0
138,10706,6,0.0,2,12130268165673.0
139,11397,11,0.0,2,120373621720506.0
140,11607,11,0.0,1,41196022784834.0
141,10801,6,0.0,2,1707456802114.0
142,11323,4,0.0,2,956352280068.0
143,11553,11,0.0,1,12090801448871.0
144,11470,6,0.0,2,1413192446868.0
145,10771,6,0.0,2,465839474294.0
146,11304,7,0.0,2,1358019653023.0
147,11774,6,0.0,2,1776059570663.0
148,11691,7,0.0,1,22726083144.0
149,11461,6,0.0,2,2774733494136.0
150,11933,11,0.0,4,1575996207224.0
151,11196,7,0.0,2,1905769825263.0
152,11339,11,0.0,1,52354779897925.0
153,11286,11,0.0,2,89685196414077.0
154,11954,11,0.0,1,12893633431135.0
155,11198,4,0.0,2,73363439300.0
156,11895,11,6.195,1,1775784735403.0
157,11579,12,12.39,1,200758524883.0
158,11828,11,18.585,1,2517758323594.0
159,11858,11,24.78,2,16713828089537.0
160,11799,11,16.520000000000003,1,67909025148.0
161,11655,11,8.260000000000002,4,21180917866613.0
162,10835,6,0.0,2,2434329011803.0
163,11280,6,0.0,2,1242343382894.0
164,11511,11,0.0,4,20175230293779.0
165,11621,4,0.0,1,252650051467.0
166,11907,6,0.0,2,1576133279222.0
167,11786,11,11.34,2,923728072978.0
168,11793,4,0.0,2,19819137470483.0
169,11380,4,0.0,2,322442152102.0
170,11725,4,0.62,2,14945826995696.0
171,11675,17,93.03,2,2203603281151.0
172,11859,4,62.019999999999996,1,1619294172626.0
173,10767,7,31.009999999999998,1,587793889952.0
174,11763,6,0.0,2,1479752624025.0
175,11409,4,6.88,2,18815445463317.0
176,11692,4,3.25,2,128457904875175.0
177,11883,4,8.1,2,128054799052208.0
178,11569,4,2.49,2,10389337329494.0
179,11959,4,2.865,1,131335579056.0
180,11588,4,3.24,2,61009112329332.0
181,11874,4,1.27,2,41839461227301.0
182,11776,4,1.62,1,24936058100575.0
183,11722,4,1.97,2,32037533324916.0
184,10787,6,0.0,2,2973597240848.0
185,11838,4,0.1,2,4096046379526.0
186,11926,4,0.6,2,174394259821.0
187,11315,4,0.06,2,128934336103626.0
188,11955,4,0.45,2,3191063504133.0
189,11383,4,0.6625000000000001,1,50012511472443.0
190,11518,4,0.875,1,26331139047976.0
191,11626,4,1.0875000000000001,1,12010488915973.0
192,11698,4,1.3,2,20128711110804.0
193,11969,4,0.0,2,1758868429848.0
194,10784,4,3.44,2,11244426006848.0
195,11416,4,0.82,2,24545867434891.0
196,11916,4,0.2,2,624893628148.0
197,11753,4,0.31,2,1250799877674.0
198,11379,4,1.7033333333333336,1,18102481494024.0
199,11841,4,3.096666666666667,1,2349215377675.0
200,11049,4,4.49,2,46080585479305.0
201,11820,4,1.63,2,158293373648085.0
202,11391,4,0.0,2,230579153680.0
203,11920,4,5.53,1,5747071488518.0
204,11513,4,11.06,2,97670407554667.0
205,11302,4,8.99,2,65336465259585.0
206,11459,4,0.55,2,41383937765973.0
207,11411,4,0.66,1,365320966794.0
208,11917,4,0.77,4,2117241825394.0
209,11449,4,0.88,2,15332183202968.0
210,11551,4,1.5,2,8128634968501.0
211,10581,4,2.06,2,27127787457513.0
212,11421,4,7.91,2,2902593779255.0
213,11381,7,0.0,2,1483799138404.0
214,11420,4,1.91,2,157343346938.0
215,10845,4,0.8,2,26653010065039.0
216,11145,4,1.51,2,255531378968747.0
217,10911,4,1.99,2,70832682153466.0
218,10864,5,0.0,2,444267181291.0
219,11394,4,1.57,2,29328570766831.0
220,11667,4,1.432,1,1614063955841.0
221,11500,4,1.294,1,54018398231059.0
222,11918,4,1.1560000000000001,1,470137543182.0
223,10720,4,1.018,1,3984864636580.0
224,10915,4,0.88,2,29384886714708.0
225,11767,4,3.53,2,33903525221606.0
226,11405,4,2.919078,3,130215464247023.0
227,10766,4,0.0,2,18604420015955.0
228,11343,4,0.0,1,81236584251424.0
229,11660,4,0.0,2,5850448462126.0
230,11277,4,5.613333333333333,1,231054122689794.0
231,11075,4,11.226666666666667,1,180642780560098.0
232,11329,11,16.84,2,1142507384506.0
233,11738,4,0.0,2,7762694438577.0
234,11161,4,0.0,1,13451860984250.0
235,10920,4,0.0,2,9392513029227.0
236,10895,4,0.37,1,2071739933535.0
237,10639,4,0.74,2,55824164464582.0
238,11158,4,1.99,2,13772847631841.0
239,11338,4,1.91,2,44621873547950.0
240,11217,4,2.84,2,9075084227573.0
241,11517,4,3.06,2,106657723417672.0
242,11521,4,0.0,2,1876539867779.0
243,11014,4,0.548,1,6818865866988.0
244,11460,4,1.096,1,33041786763071.0
245,11367,4,1.6440000000000001,1,5502531870792.0
246,11090,4,2.192,1,48073445641696.0
247,11741,4,2.74,2,2945297796920.0
248,11665,4,0.0,2,507566146673.0
249,11008,4,0.96,2,62772350395350.0
250,11385,4,5.43,2,32204568683009.0
251,10919,4,0.60417,3,547555999911780.0
252,11512,11,0.0,2,9857912349808.0
253,11673,4,0.38,2,1977984518201.0
254,10748,4,0.0,2,7275333718279.0
255,11661,4,0.35,2,103863592561.0
256,10778,4,1.54,1,906138522194.0
257,11098,4,2.73,2,533383063981228.0
258,11310,4,3.5700000000000003,1,475139006153365.0
259,11340,4,4.41,2,1712272931339.0
260,11495,4,0.0,3,2032593464666.0
261,11142,4,0.85,2,104000265505721.0
262,11562,4,0.54,1,993370206740.0
263,11701,4,0.23,2,8554309343451.0
264,11499,4,0.495,1,2497004963511.0
265,10765,4,0.76,2,112113230550902.0
266,10929,4,7.82,2,1230675690891.0
267,10883,4,0.08,2,86744911030633.0
268,11756,4,0.0,2,690633640134.0
269,11476,4,1.51,2,282130741561.0
270,11442,4,0.3,2,275134806024.0
271,10885,7,0.0,2,2272019067702.0
272,11316,11,55.86,2,359664291763.0
273,11256,4,0.0,2,101464102063.0
274,11427,4,0.0,2,109211327872.0
275,11290,4,2.38,2,54849318331.0
276,11148,4,0.0,2,2365713732898.0
277,11896,16,0.0,1,12147445696449.0
278,11386,11,0.0,1,1032186901773.0
279,11168,4,0.0,2,1364342186584.0
280,11882,11,0.0325,4,184528624937.0
281,11679,11,0.065,4,2526731223913.0
282,11813,11,0.0975,1,72444193276544.0
283,11435,11,0.13,2,36388383012254.0
284,11407,11,0.10400000000000001,1,3155213842121.0
285,11726,12,0.078,1,236680846526.0
286,11538,11,0.05199999999999999,4,13157631678779.0
287,11769,11,0.025999999999999995,1,5075238692384.0
288,11746,12,0.0,2,225669630845.0
289,11306,11,0.0,2,583384459086.0
290,10837,4,1.8,2,21488545246696.0
291,11318,11,0.0,2,1711301378880.0
292,11480,12,0.0,1,90877784820.0
293,11540,13,0.0,1,10898266260975.0
294,11797,12,0.0,1,1076482638056.0
295,11281,11,0.0,1,3848517248755.0
296,11681,11,0.0,2,2092488627649.0
297,10830,6,0.0,2,2064704585656.0
298,10923,4,0.0,2,1110696816631.0
299,11704,11,0.0,2,58752632487.0
300,11931,11,0.0,1,37557628417987.0
301,11960,16,0.0,1,2154702986618.0
302,11968,6,0.0,2,411257739079.0
303,11976,4,0.0,1,5556808375496.0
304,11978,11,0.0,1,1021443746672.0
305,11982,11,0.0,1,539200139584.0
306,11983,4,0.0,2,270722453161.0
307,11985,6,0.0,2,742611593589.0
308,11986,11,0.11666666666666665,4,249059312822.0
309,11987,11,0.2333333333333333,4,866938690505.0
310,11989,4,0.35,2,54972655973954.0
311,11990,4,0.0,2,9066250842500.0
312,11993,4,0.5566666666666666,1,19988369691698.0
313,11994,11,1.1133333333333333,1,97729719945.0
314,11995,4,1.67,2,1528726527718.0
315,11996,4,3.54,2,350256803254.0
316,11997,4,2.22,2,9499143988386.0
317,11998,6,0.0,2,1283495260915.0
318,12002,4,0.0,1,32539947814326.0
319,12005,11,0.0,1,5609915841786.0
320,12006,5,0.0,1,1658584273319.0
321,12008,5,0.0,2,927295659698.0
322,12009,7,0.0,2,22666260500746.0
323,12010,4,0.0,2,154157991461.0
324,12012,5,0.0,2,1490739375890.0
325,12015,4,3.86,2,3620347022162.0
326,12017,4,0.0,2,10461105396671.0
327,12018,6,0.0,2,208710981388.0
328,12020,11,4.23,2,163742089849.0
329,12021,7,2.115,1,5171713065752.0
330,12022,6,0.0,2,384334442002.0
331,12023,6,2.525,4,536763585638.0
332,12024,4,5.05,2,5553537253916.0
333,12027,18,2.525,1,1679620662384.0
334,12031,4,0.0,2,400984562185.0
335,12033,6,0.0,1,39299944636647.0
336,12035,6,0.0,2,2014570314943.0
337,12039,6,0.0,1,5084658312372.0
338,12042,4,0.0,2,1373016640935.0
339,12045,4,0.0,2,1116964600361.0
340,12047,11,0.0,2,2384079757923.0
341,12048,6,0.0,2,490836251867.0
342,12050,4,0.0,2,2387058283990.0
343,12051,11,0.0,5,37862260611.0
344,12052,4,3.78,2,2217652410074.0
345,12053,4,0.0,5,456275041772.0
346,12055,4,32.89,1,1853697076431.0
347,12056,16,65.78,1,1369016411679.0
348,12057,17,98.67,2,5415731452070.0
349,12061,6,49.665,4,123548977361.0
350,12070,4,0.66,2,18145400315087.0
351,12072,7,1.0966666666666667,4,259503033881.0
352,12073,11,1.5333333333333334,4,470418204735.0
353,12086,4,1.97,2,4846433128256.0
354,12087,11,0.0,2,1803716161779.0
355,12091,4,0.0,2,545086168807.0
356,12093,6,0.0,2,9367990549784.0
357,12099,11,0.0,1,1151627330269.0
358,12127,6,0.0,1,7630121101951.0
359,11533,12,0.0,2,106534671067.0
360,11479,12,8.91,2,567124078874.0
361,11775,11,4.455,4,6999597312689.0
362,11780,5,0.0,2,2062802830257.0
363,11822,11,0.0,1,2376241617792.0
364,11617,11,0.0,1,5423374791724.0
365,11091,11,0.0,1,2483544700701.0
366,11891,11,0.0,1,3255920581491.0
367,10763,6,0.0,2,8574170880.0
368,11713,16,0.0,1,418245524138.0
369,11808,16,0.0,1,826846528036.0
370,11287,11,0.0,2,17836911580655.0
371,11772,5,0.0,2,3454548556920.0
372,11798,11,48.04,1,458326396055.0
373,11903,11,96.08,3,46242910363.0
374,11752,11,0.0,2,720147554382.0
375,11687,11,0.0,2,417074382505.0
376,11346,11,0.0,1,35912443699752.0
377,11897,12,0.0,1,608904847554.0
378,11419,11,0.0,2,19239656647598.0
379,11295,11,0.0,1,60499514761865.0
380,11130,11,0.0,0,60499514761865.0
381,11276,14,0.0,0,60499514761865.0
382,11371,14,0.0,0,60499514761865.0
383,11445,14,0.0,0,60499514761865.0
384,11471,14,0.0,0,60499514761865.0
385,11514,11,0.0,0,60499514761865.0
386,11537,12,0.0,0,60499514761865.0
387,11802,12,0.0,0,60499514761865.0
388,11806,12,0.0,0,60499514761865.0
389,11855,12,0.0,0,60499514761865.0
390,11919,11,0.0,0,60499514761865.0
391,12081,12,0.0,0,60499514761865.0
392,12107,11,0.0,0,60499514761865.0
393,12115,11,0.0,0,60499514761865.0
394,12116,11,0.0,0,60499514761865.0
395,12124,12,0.0,0,60499514761865.0
396,12126,11,0.0,0,60499514761865.0
