,regNo,name
0,11777,اختصاصی بازارگردانی آسمان زاگرس
1,11446,اختصاصی بازارگردانی گروه دی
2,11633,اختصاصی بازارگردانی هوشمند آبان
3,11783,اختصاصی بازارگردانی گسترش نو ویرا
4,11410,اختصاصی بازارگردانی ملت
5,11950,جسورانه سپهر یکم
6,11759,اختصاصی بازارگردانی تاک دانا
7,11443,اختصاصی بازارگردانی پست بانک ایران
8,11884,اختصاصی بازارگردانی آوای زاگرس
9,11709,واسطه گری مالی یکم
10,11967,زرفام آشنا
11,11941,اختصاصی بازارگردانی آوای فراز
12,11618,اختصاصی بازارگردانی اکسیر سودا
13,11856,در اوراق بهادار مبتنی بر گواهی سپرده سکه طلا کهربا
14,11530,پشتوانه سکه طلای زرافشان امید ایرانیان
15,11149,مشترک سبحان
16,11899,در اوراق بهادار مبتنی بر طلای زرین آگاه
17,11823,ثروت هامرز
18,11807,اختصاصی بازارگردانی اتحاد بازار سرمایه
19,11586,طلای عیار مفید
20,11186,مشترک دماسنج
21,11878,ثروت داریوش
22,11195,آسمان آرمانی سهام
23,11141,مشترک نوید انصار
24,11603,جسورانه فناوری بازنشستگی
25,11463,مشترک گنجینه ارمغان الماس
26,11359,اختصاصی بازار گردان صبا نیک
27,11706,اعتبار سهام ایرانیان
28,10789,فیروزه موفقیت
29,11773,فراز داریک
30,11710,اختصاصی بازارگردانی توسعه سهام نیکی
31,11889,ثروت افزون ثمین
32,11509,پشتوانه طلای لوتوس
33,11951,سلام فارابی
34,11922,آوای تاراز زاگرس
35,11729,آوای معیار
36,11454,آهنگ سهام کیان
37,11324,اختصاصی بازارگردانی بهمن گستر
38,11664,اختصاصی بازارگردانی خلیج فارس
39,10589,مشترک پویا
40,11384,مشترک مبین سرمایه
41,11172,آرمان سپهر آشنا
42,11853,زمرد آگاه
43,11314,مشترک نیکوکاری ندای امید
44,11534,اختصاصی بازارگردانی نماد صنعت و معدن
45,11925,اختصاصی بازارگردانی تراز ویستا
46,11921,تعالی دانش مالی اسلامی
47,11365,اختصاصی بازارگردانی بانک سینا
48,11556,در اوراق بهادار مبتنی بر سکه طلای کیان
49,11087,مشترک آسمان یکم
50,11595,اختصاصی بازارگردانی سینا بهگزین
51,11364,اختصاصی بازارگردانی تجارت ایرانیان اعتماد
52,11220,مشترک افق
53,11924,قابل معامله شاخصی کیان
54,11711,اختصاصی بازارگردانی آگاه
55,11745,پالایشی یکم
56,11947,اختصاصی بازارگردانی برنا
57,10591,مشترک کارگزاری حافظ
58,11095,مشترک کاریزما
59,11912,سهامی اهرمی کاریزما
60,11668,اختصاصی بازارگردانی مهرگان
61,10753,مشترک ایساتیس پویای یزد
62,11260,امین تدبیرگران فردا
63,11157,مشترک آسمان خاورمیانه
64,11234,مشترک بانک خاورمیانه
65,11934,اختصاصی بازارگردانی فخر رضوی
66,11712,ارزش آفرین بیدار
67,11649,سرو سودمند مدبران
68,10872,مشترک یکم سامان
69,11305,اعتماد تمدن
70,11055,توسعه اعتماد رفاه
71,11962,قابل معامله سهامی درسا
72,10743,مشترک یکم اکسیر فارابی
73,11900,انار نماد ارزش
74,10596,مشترک کارگزاری بانک ملی ایران
75,11674,اختصاصی بازارگردانی معیار
76,10615,کیمیا زرین کاردان
77,11915,نماد آشنا ایرانیان
78,10825,مشترک سینا
79,11836,اختصاصی بازارگردانی پرگار
80,11842,مختلط کاریزما
81,10630,مشترک بانک اقتصاد نوین
82,11273,همیان سپهر
83,11099,ثروت آفرین تمدن
84,11182,مشترک توسعه ملی
85,11736,مدیریت ثروت صندوق بازنشستگی کشوری
86,11197,بذر امید آفرین
87,11223,سهم آشنا
88,10616,مشترک آگاه
89,11886,اوج دماوند
90,10600,مشترک پیشتاز
91,11222,مشترک گنجینه مهر
92,10869,بانک دی
93,11688,اختصاصی بازارگردانی خبرگان اهداف
94,11183,سهامی سپند کاریزما
95,10782,باران کارگزاری بانک کشاورزی
96,10764,مشترک صبا
97,11327,ثروت آفرین پارسیان
98,10719,مشترک بورسیران
99,11341,هستی بخش آگاه
100,10934,یکم نیکوکاری آگاه
101,11268,مشترک ذوب آهن نو ویرا
102,11914,اختصاصی بازارگردانی نیکان
103,11755,اختصاصی بازارگردانی توازن کوروش
104,10781,گنجینه رفاه
105,11477,آوای سهام کیان
106,11215,توسعه اطلس مفید
107,10851,مشترک پیشرو
108,10896,مشترک مانا الگوریتم
109,11378,آرمان آتیه درخشان مس
110,11888,زیتون نماد پایا
111,11312,تجارت شاخصی کاردان
112,11233,افق ملت
113,10855,سپهر اول بازار
114,11173,مشترک امین آوید
115,11235,مشترک رشد سامان
116,11525,اختصاصی بازارگردانی توسعه بازار تمدن
117,10762,توسعه ممتاز
118,11615,اختصاصی بازارگردانی صبا گستر نفت و گاز تأمین
119,11132,مشترک امید توسعه
120,11447,اختصاصی بازارگردان صنعت مس
121,11927,صندوق در صندوق صنم
122,10897,ارمغان یکم ملل
123,11885,سهام ویستا
124,11334,اندیشه خبرگان سهام
125,11309,سهام بزرگ کاردان
126,11188,مختلط گوهر نفیس تمدن
127,11308,شاخص سی شرکت بزرگ فیروزه
128,10843,کارگزاری پارسیان
129,11803,راهبرد ممتاز ابن سینا
130,11929,مروارید بها بازار
131,11258,مشترک نیکی گستران
132,11285,زرین پارسیان
133,11239,مشترک سپهر آتی
134,11131,مشترک کوثر
135,11764,اختصاصی بازارگردانی توسعه فولاد مبارکه
136,11939,شاخصی آرام مفید
137,11297,مشترک یکم آبان
138,10706,مشترک ارزش کاوان آینده
139,11397,اختصاصی بازارگردانی سپهر بازار سرمایه
140,11607,اختصاصی بازارگردانی گوهر فام امید
141,10801,مشترک تدبیرگران فردا
142,11323,گنجینه آینده روشن
143,11553,اختصاصی بازارگردانی ارزش آفرین صندوق بازنشستگی کشوری
144,11470,پاداش سرمایه پارس
145,10771,مشترک نوین پایدار
146,11304,نیکوکاری ایتام برکت
147,11774,زرین کوروش
148,11691,مشترک مدرسه کسب و کار صوفی رازی
149,11461,مشترک افق روشن کارگزاری بانک خاورمیانه
150,11933,اختصاصی بازارگردانی تثبیت پاداش
151,11196,سپهر اندیشه نوین
152,11339,اختصاصی بازارگردانی امید ایرانیان
153,11286,اختصاصی بازارگردانی امید لوتوس پارسیان
154,11954,اختصاصی بازارگردانی ثروت پویا
155,11198,نیکوکاری همیار آشنا ایرانیان
156,11895,اختصاصی بازارگردانی دانایان
157,11579,جسورانه یکم دانشگاه تهران
158,11828,اختصاصی بازارگردانی یکم هامرز
159,11858,اختصاصی بازارگردانی دارا داریوش
160,11799,اختصاصی بازارگردانی تصمیم ساز
161,11655,اختصاصی بازارگردانی پاداش پشتیبان پارس
162,10835,مشترک شاخصی کار آفرین
163,11280,مشترک میعاد ایرانیان
164,11511,اختصاصی بازارگردانی تدبیرگران فردا
165,11621,گنجینه الماس بیمه دی
166,11907,بخشی پتروشیمی دماوند
167,11786,اختصاصی بازار گردانی حامی اول
168,11793,ارزش کاوان ایرانیان
169,11380,نیکوکاری جایزه علمی فناوری پیامبر اعظم ص
170,11725,اعتماد داریک
171,11675,ثروت ستارگان
172,11859,ثابت مانی
173,10767,مشترک پارس
174,11763,شاخصی بازار آشنا
175,11409,آرمان آتی کوثر
176,11692,افرا نماد پایدار
177,11883,نوع دوم کارا
178,11569,در اوراق بهادار با درآمد ثابت تصمیم
179,11959,مختص اوراق دولتی نشان هامرز
180,11588,اندیشه ورزان صبا تامین
181,11874,ثبات ویستا
182,11776,آوای فردای زاگرس
183,11722,سپر سرمایه بیدار
184,10787,مشترک نقش جهان
185,11838,کامیاب آشنا
186,11926,صخره سرمایه و دانش
187,11315,اعتماد آفرین پارسیان
188,11955,ارزش پاداش
189,11383,در اوراق بهادار با درآمد ثابت امید انصار
190,11518,ارمغان فیروزه آسیا
191,11626,مشترک آسمان امید
192,11698,یاقوت آگاه
193,11969,مختص اوراق دولتی کاریزما
194,10784,حکمت آشنا ایرانیان
195,11416,پارند پایدار سپهر
196,11916,در اوراق بهادار با درآمد ثابت آریا
197,11753,خاتم ایساتیس پویا
198,11379,با درآمد ثابت کوثر یکم
199,11841,سپهر سودمند سینا
200,11049,امین آشنا ایرانیان
201,11820,سپید دماوند
202,11391,مشترک نوین نگر آسیا
203,11920,اعتماد هامرز
204,11513,در اوراق بهادار با درآمد ثابت کمند
205,11302,در اوراق بهادار با در آمد ثابت کاریزما
206,11459,با درآمد ثابت کیان
207,11411,مشترک گنجینه الماس پایدار
208,11917,ندای ثابت کیان
209,11449,در اوراق بهادار با درآمد ثابت اعتماد ملل
210,11551,هدیه فارابی
211,10581,مشترک کارگزاری کارآفرین
212,11421,ارزش آفرین گلرنگ
213,11381,نیکوکاری میراث ماندگار پاسارگاد
214,11420,توسعه سرمایه نیکی
215,10845,آرمان کارآفرین
216,11145,اندوخته پایدار سپهر
217,10911,ارزش آفرینان دی
218,10864,توسعه صادرات
219,11394,پاداش سرمایه بهگزین
220,11667,رشد پایدار آبان
221,11500,با درآمد ثابت نگین سامان
222,11918,مشترک آسمان سهند
223,10720,مشترک صنعت و معدن
224,10915,گسترش فردای ایرانیان
225,11767,همای آگاه
226,11405,اندوخته توسعه صادرات آرمانی
227,10766,مشترک بانک مسکن
228,11343,گنجینه امید ایرانیان
229,11660,دارا الگوریتم
230,11277,ثابت حامی
231,11075,اوج ملت
232,11329,اختصاصی بازارگردانی مپنا ایرانیان
233,11738,اعتبار آفرین ایرانیان
234,11161,امین انصار
235,10920,ارمغان ایرانیان
236,10895,آتیه ملت
237,10639,مشترک یکم ایرانیان
238,11158,مشترک پیروزان
239,11338,مشترک افق کارگزاری بانک خاورمیانه
240,11217,مشترک سپهر تدبیرگران
241,11517,اعتماد کارگزاری بانک ملی ایران
242,11521,پاداش اعتماد تمدن
243,11014,اندوخته ملت
244,11460,امین یکم فردا
245,11367,پاداش سهامداری توسعه یکم
246,11090,نگین رفاه
247,11741,الماس کوروش
248,11665,زمرد نو ویرا ذوب آهن
249,11008,بانک ایران زمین
250,11385,توسعه تعاون صبا
251,10919,گنجینه زرین شهر
252,11512,اختصاصی بازارگردانی توسعه معادن و فلزات آرمان
253,11673,گنجینه داریوش
254,10748,مشترک فراز اندیش نوین
255,11661,پیشگامان سرمایه نوآفرین
256,10778,امین ملت
257,11098,لوتوس پارسیان
258,11310,با درآمد ثابت کاردان
259,11340,سپهر خبرگان نفت
260,11495,سرآمد بازار
261,11142,ره آورد آباد مسکن
262,11562,ثابت نامی مفید
263,11701,اندوخته آمیتیس
264,11499,گنجینه یکم آوید
265,10765,مشترک آتیه نوین
266,10929,امین سامان
267,10883,بانک گردشگری
268,11756,اتحاد آرمان اقتصاد
269,11476,نیکوکاری لوتوس رویان
270,11442,مشترک صبای هدف
271,10885,تجربه ایرانیان
272,11316,اختصاصی بازارگردانی گسترش صنعت دارو
273,11256,نیکوکاری دانشگاه تهران
274,11427,نیکوکاری فردای روشن
275,11290,نیکوکاری دانشگاه الزهرا
276,11148,مشترک البرز
277,11896,خصوصی کمان کاریزما
278,11386,اختصاصی بازارگردانی آرمان انصار
279,11168,مشترک اندیشه فردا
280,11882,اختصاصی بازارگردانی هدف
281,11679,اختصاصی بازارگردانی توسعه فیروزه پویا
282,11813,اختصاصی بازارگردانی لاجورد دماوند
283,11435,اختصاصی بازارگردانی گروه گردشگری ایرانیان
284,11407,اختصاصی بازارگردانی کوشا الگوریتم
285,11726,جسورانه فیروزه
286,11538,اختصاصی بازارگردانی سهم آشنا یکم
287,11769,اختصاصی بازارگردانی امین
288,11746,جسورانه پارتیان
289,11306,اختصاصی بازارگردانی حکمت ایرانیان یکم
290,10837,یکم کارگزاری بانک کشاورزی
291,11318,اختصاصی بازارگردان گروه توسعه بهشهر
292,11480,جسورانه یکم آرمان آتی
293,11540,پروژه آرمان پرند مپنا
294,11797,جسورانه ستاره برتر
295,11281,اختصاصی بازارگردانی افتخار حافظ
296,11681,اختصاصی بازارگردانی الگوریتمی امید فارابی
297,10830,مشترک عقیق
298,10923,نهال سرمایه ایرانیان
299,11704,اختصاصی بازارگردانی نهایت نگر
300,11931,اختصاصی بازارگردانی توسعه سهام عدالت
301,11960,خصوصی دیوان ارزش
302,11968,بازده بورس
303,11976,نوع دوم افق آتی
304,11978,اختصاصی بازارگردانی کارگزاری کارآفرین
305,11982,اختصاصی بازارگردانی فناوری هیرکانیا
306,11983,خزانه داریوش
307,11985,در سهام برلیان
308,11986,اختصاصی بازارگردانی سورین
309,11987,اختصاصی بازارگردانی توازن نوید
310,11989,در اوراق بهادار با درآمد ثابت خلیج فارس
311,11990,مختص اوراق دولتی خلیج فارس
312,11993,ثابت آوند مفید
313,11994,اختصاصی بازارگردانی پاینده
314,11995,ترنج سودمند
315,11996,شکوه بامداد زاگرس
316,11997,شکوه اوج دماوند
317,11998,ثروت هیوا
318,12002,لبخند فارابی
319,12005,اختصاصی بازارگردانی کارون
320,12006,طلای آسمان آلتون
321,12008,در اوراق بهادار مبتنی بر سکه طلا نهایت نگر
322,12009,تضمین اصل سرمایه کاریزما
323,12010,مختص اوراق دولتی ندای ماندگار دماوند
324,12012,در اوراق بهادار مبتنی بر طلای صبا
325,12015,مروارید آگاه
326,12017,نوع دوم پایدار نو ویرا
327,12018,ترمه ایساتیس پویا
328,12020,اختصاصی بازارگردانی پیشرفت سرمایه
329,12021,تضمین اصل سرمایه مفید
330,12022,نوید دانایان پارس
331,12023,زرین نهال ثنا
332,12024,نوع دوم رایکا
333,12027,املاک و مستغلات مدیریت ارزش مسکن
334,12031,نوع دوم اعتبار
335,12033,سهامی اهرمی توان مفید
336,12035,سهامی اکسیژن
337,12039,دریای آبی فیروزه
338,12042,بازده پایدار
339,12045,بازده پایه بازار صبا
340,12047,اختصاصی بازارگردانی پویا اطلس
341,12048,پرتو پایش پیشرو
342,12050,پایا ثروت پویا
343,12051,اختصاصی بازارگردانی رابین سهم
344,12052,توسعه افق رابین
345,12053,در اوراق بهادار با درآمد ثابت سپرده ماندگار
346,12055,نوع دوم سام
347,12056,خصوصی اکسیر زیست پارسیان
348,12057,تمشک نماد رشد
349,12061,آرمان رایا یکم
350,12070,نوع دوم نیلی دماوند
351,12072,با تضمین اصل سرمایه کیان
352,12073,اختصاصی بازارگردانی کیمیای پرتو باران
353,12086,درین بها بازار
354,12087,اختصاصی بازارگردانی شهر
355,12091,راسا الگوریتم
356,12093,بخشی پتروشیمی آگاه
357,12099,اختصاصی بازار گردانی ملل
358,12127,سهامی اهرمی شتاب آگاه
359,11533,جسورانه آشنا تک ایرانیان
360,11479,جسورانه رویش لوتوس
361,11775,اختصاصی بازارگردانی کیان
362,11780,گروه زعفران سحرخیز
363,11822,اختصاصی بازارگردانی آرمان تدبیر نقش جهان
364,11617,اختصاصی بازارگردانی مفید
365,11091,اختصاصی بازارگردانی آرمان اندیش
366,11891,اختصاصی بازارگردانی آتیه باران
367,10763,مشترک نو اندیشان
368,11713,اعتبار سرمایه نوآفرین
369,11808,خصوصی ثروت آفرین فیروزه
370,11287,بازارگردانی نوین پیشرو
371,11772,طلای سرخ نو ویرا
372,11798,اختصاصی بازارگردانی میزان داریک
373,11903,اختصاصی بازارگردانی الگوریتم سرآمد بازار
374,11752,اختصاصی بازار گردانی نهایت اندیش اقتصاد بیدار
375,11687,اختصاصی بازارگردانی ایساتیس پویا
376,11346,اختصاصی بازارگردان توسعه ملی
377,11897,جسورانه پیشرفت
378,11419,اختصاصی بازگردانی اندیشه زرین پاسارگاد
379,11295,اختصاصی بازارگردانی گنجینه سپهر صادرات
380,11130,مشترک توسعه بازار سرمایه
381,11276,زمین و ساختمان نسیم
382,11371,زمین و ساختمان مسکن شمال غرب
383,11445,زمین و ساختمان مسکن نارون
384,11471,زمین و ساختمان نگین شهر ری
385,11514,صندوق تثبیت بازار سرمایه
386,11537,جسورانه توسعه فناوری آرمانی
387,11802,جسورانه سرو رشد پایدار یکم
388,11806,جسورانه پویا الگوریتم
389,11855,جسورانه رشد یکم پیشگام
390,11919,اختصاصی بازارگردانی یکم آسال
391,12081,جسورانه فناوری های تکاملی
392,12107,اختصاصی بازارگردانی پایش پایدار
393,12115,اختصاصی بازارگردانی بازده معاملات
394,12116,اختصاصی بازارگردانی برلیان
395,12124,جسورانه ارغوان
396,12126,اختصاصی بازارگردانی معاملات سرآمد
